title,price,rating,reviews
"MOTOROLA G32 (Mineral Gray, 128 GB)  (8 GB RAM)","₹9,999",4.1,"60,370 Ratings"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)","₹17,489",4.4,"1,14,199 Ratings"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹6,499",4.2,"46,877 Ratings"
"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)","₹6,499",4,"54,866 Ratings"
"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)","₹6,699",4.3,"80,202 Ratings"
"MOTOROLA e13 (Aurora Green, 128 GB)  (8 GB RAM)","₹7,499",4,"2,339 Ratings"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹6,499",4.2,"46,877 Ratings"
"Infinix Note 30 5G (Sunset Gold, 128 GB)  (4 GB RAM)","₹13,499",4.1,"2,740 Ratings"
"Infinix SMART 7 (Night Black, 128 GB)  (4 GB RAM)","₹6,799",4.3,"80,202 Ratings"
"Infinix SMART 7 (Emerald Green, 128 GB)  (4 GB RAM)","₹6,799",4.3,"80,202 Ratings"
"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)","₹17,999",4.1,"3,406 Ratings"
"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)","₹6,699",4.3,"80,202 Ratings"
"Infinix HOT 30i (Diamond White, 128 GB)  (8 GB RAM)","₹8,499",4.2,"85,169 Ratings"
"Infinix HOT 30i (Marigold, 128 GB)  (8 GB RAM)","₹8,499",4.2,"85,169 Ratings"
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)","₹8,499",4.2,"85,169 Ratings"
"Infinix HOT 30i (Marigold, 64 GB)  (4 GB RAM)","₹7,499",4.2,"18,542 Ratings"
"Infinix HOT 30i (Diamond White, 64 GB)  (4 GB RAM)","₹7,499",4.2,"18,542 Ratings"
"Infinix HOT 30i (Glacier Blue, 64 GB)  (4 GB RAM)","₹7,499",4.2,"18,542 Ratings"
"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)","₹17,999",4.1,"3,406 Ratings"
"Infinix SMART 7 (Night Black, 64 GB)  (4 GB RAM)","₹6,699",4.3,"80,202 Ratings"
"Infinix HOT 30i (Mirror Black, 128 GB)  (8 GB RAM)","₹8,499",4.2,"85,169 Ratings"
"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)","₹7,499",4.2,"18,542 Ratings"
"Infinix SMART 7 (Azure Blue, 128 GB)  (4 GB RAM)","₹6,799",4.3,"80,202 Ratings"
"MOTOROLA e13 (Little Boy Blue, 128 GB)  (8 GB RAM)","₹7,499",4,"2,339 Ratings"
